Crop,Region,Year,Actual_Production_kt,Predicted_Production_kt,Error_kt,Error_Pct
Rice,Balochistan,2022,103.16,387.47,-284.31,275.6
Rice,Balochistan,2023,526.63,446.89,79.74,15.14
Cotton,Punjab,2008,1488.46,1488.31,0.15,0.01
Cotton,Punjab,2009,1454.61,1451.01,3.6,0.25
Cotton,Punjab,2010,1335.89,1333.9,1.99,0.15
Cotton,Punjab,2011,1892.93,1880.05,12.88,0.68
Cotton,Punjab,2012,1620.28,1606.68,13.6,0.84
Cotton,Punjab,2013,1555.47,1553.7,1.77,0.11
Cotton,Punjab,2014,1748.02,1739.9,8.12,0.46
Cotton,Punjab,2015,1078.88,1087.31,-8.43,0.78
Cotton,Punjab,2016,1186.89,1179.85,7.04,0.59
Cotton,Punjab,2017,1373.82,1355.79,18.03,1.31
Cotton,Punjab,2018,1161.03,1154.26,6.77,0.58
Cotton,Punjab,2019,1072.6,1071.23,1.37,0.13
Cotton,Punjab,2020,857.93,859.88,-1.95,0.23
Cotton,Punjab,2021,879.03,873.2,5.83,0.66
Cotton,Punjab,2022,545.99,549.65,-3.66,0.67
Cotton,Punjab,2023,1025.32,1016.29,9.03,0.88
Cotton,Sindh,2013,599.29,527.68,71.61,11.95
Cotton,Sindh,2014,607.65,596.54,11.11,1.83
Cotton,Sindh,2015,591.16,600.45,-9.29,1.57
Cotton,Sindh,2016,611.8,601.07,10.73,1.75
Cotton,Sindh,2017,642.23,613.64,28.59,4.45
Cotton,Sindh,2018,499.79,580.76,-80.97,16.2
Cotton,Sindh,2019,467.0,537.61,-70.61,15.12
Cotton,Sindh,2020,316.67,434.14,-117.47,37.09
Cotton,Sindh,2021,510.0,435.65,74.35,14.58
Cotton,Sindh,2022,269.81,373.17,-103.36,38.31
Cotton,Sindh,2023,659.89,472.05,187.84,28.47
Cotton,KPK,2012,0.12,0.15,-0.03,26.95
Cotton,KPK,2013,0.14,0.19,-0.05,33.46
Cotton,KPK,2014,0.51,0.29,0.22,43.36
Cotton,KPK,2015,0.2,0.35,-0.15,74.55
Cotton,KPK,2016,0.1,0.31,-0.21,211.17
Cotton,KPK,2017,0.09,0.14,-0.05,58.16
Cotton,KPK,2018,0.09,0.14,-0.05,54.99
Cotton,KPK,2019,0.1,0.13,-0.03,33.93
Cotton,KPK,2020,0.05,0.12,-0.07,137.63
Cotton,KPK,2021,0.09,0.13,-0.04,49.1
Cotton,KPK,2022,0.09,0.15,-0.06,62.75
Cotton,KPK,2023,0.02,0.12,-0.1,518.65
Cotton,Balochistan,2008,15.17,12.68,2.49,16.39
Cotton,Balochistan,2009,15.43,12.71,2.72,17.62
Cotton,Balochistan,2010,11.72,9.73,1.99,16.99
Cotton,Balochistan,2011,18.45,13.89,4.56,24.74
Cotton,Balochistan,2012,17.62,14.68,2.94,16.66
Cotton,Balochistan,2013,16.96,14.82,2.14,12.61
Cotton,Balochistan,2014,18.22,15.41,2.81,15.4
Cotton,Balochistan,2015,16.6,15.06,1.54,9.26
Cotton,Balochistan,2016,16.18,14.78,1.4,8.66
Cotton,Balochistan,2017,15.7,13.64,2.06,13.1
Cotton,Balochistan,2018,16.31,14.13,2.18,13.35
Cotton,Balochistan,2019,16.3,13.78,2.52,15.45
Cotton,Balochistan,2020,26.84,22.22,4.62,17.22
Cotton,Balochistan,2021,27.54,23.78,3.76,13.67
Cotton,Balochistan,2022,19.17,17.22,1.95,10.19
Cotton,Balochistan,2023,53.53,44.56,8.97,16.76
